subject,course_number,anti_requisite_subject,anti_requisite_number
ACTSC,231,ACTSC,221
MATBUS,371,ACTSC,221
ACTSC,221,ACTSC,231
AFM,274,ACTSC,372
ACTSC,363,ACTSC,431
AFM,422,ACTSC,445
MATBUS,472,ACTSC,445
ACTSC,846,ACTSC,446
AFM,322,ACTSC,446
MSCI,251,AE,224
MSCI,261,AE,392
AFM,123,AFM,101
AFM,191,AFM,101
ARBUS,102,AFM,101
AFM,182,AFM,102
CFM,101,AFM,121
COMM,101,AFM,121
AFM,101,AFM,123
AFM,132,AFM,131
AFM,102,AFM,182
AFM,206,AFM,202
AFM,208,AFM,202
AFM,205,AFM,204
AFM,212,AFM,211
AFM,335,AFM,231
CIVE,491,AFM,231
COMM,231,AFM,231
CS,330,AFM,241
ACTSC,372,AFM,272
AFM,273,AFM,272
ACTSC,291,AFM,273
AFM,272,AFM,273
ACTSC,391,AFM,274
AFM,275,AFM,274
AFM,480,AFM,280
MSCI,211,AFM,280
COMM,321,AFM,291
SFM,309,AFM,311
ACTSC,446,AFM,322
MATBUS,470,AFM,322
AFM,231,AFM,335
LS,283,AFM,335
ACTSC,471,AFM,373
AFM,476,AFM,373
AFM,244,AFM,415
AFM,463,AFM,415
AFM,324,AFM,416
AFM,377,AFM,416
AFM,470,AFM,417
ACTSC,445,AFM,422
MATBUS,471,AFM,425
COMM,432,AFM,443
AFM,373,AFM,476
MATH,207,AMATH,231
MATH,212,AMATH,231
MATH,217,AMATH,231
MATH,227,AMATH,231
CS,335,AMATH,242
CS,370,AMATH,242
AMATH,251,AMATH,250
MATH,213,AMATH,250
MATH,218,AMATH,250
MATH,228,AMATH,250
AMATH,250,AMATH,251
PHYS,365,AMATH,332
AFM,113,AMATH,350
AMATH,351,AMATH,350
AMATH,353,AMATH,350
MATH,211,AMATH,350
NE,216,AMATH,350
PHYS,364,AMATH,353
ECE,405,AMATH,373
PHYS,334,AMATH,373
AMATH,642,AMATH,442
AMATH,651,AMATH,451
AMATH,653,AMATH,453
AMATH,655,AMATH,455
AMATH,656,AMATH,456
AMATH,663,AMATH,463
AMATH,673,AMATH,473
AMATH,674,AMATH,474
AMATH,675,AMATH,475
AMATH,677,AMATH,477
ARCH,277,ARCH,276
CI,100,ARTS,190
INDG,101,ARTS,190
MOHAWK,101R,ARTS,190
SI,131R,ARTS,190
ENVS,278,ARTS,280
GBDA,205,ARTS,280
LS,280,ARTS,280
PSCI,314,ARTS,280
PSYCH,292,ARTS,280
SDS,250R,ARTS,280
SMF,230,ARTS,280
SOC,280,ARTS,280
ANTH,221,ARTS,290
GSJ,221,ARTS,290
INDG,102,ARTS,290
MOHAWK,102R,ARTS,290
MSCI,411,BET,450
BE,660,BET,460
HLTH,103,BIOL,130
NE,281,BIOL,130
SYDE,584,BIOL,273
BME,213,BIOL,361
STAT,332,BIOL,361
BIOL,341,BIOL,441
OPTOM,134,BIOL,441
SYDE,101,BME,101
AE,121,BME,121
CS,105,BME,121
CS,106,BME,121
CS,115,BME,121
CS,135,BME,121
MSCI,121,BME,121
SYDE,121,BME,121
CS,231,BME,122
CS,234,BME,122
CS,240,BME,122
MSCI,240,BME,122
SYDE,223,BME,122
SYDE,161,BME,161
SYDE,162,BME,162
SYDE,181,BME,181
SYDE,182,BME,182
SYDE,212,BME,213
SYDE,252,BME,252
SYDE,286,BME,281
SYDE,285,BME,282
SYDE,361,BME,361
SYDE,362,BME,362
SYDE,262,BME,364
AE,279,BME,384
SYDE,381,BME,384
SYDE,383,BME,384
SYDE,283,BME,386
CHE,521,BME,411
MSCI,331,BME,411
SYDE,411,BME,411
SYDE,461,BME,461
NE,121,CHE,102
CIVE,224,CHE,220
ENVE,224,CHE,220
GEOE,224,CHE,220
NE,215,CHE,220
NE,125,CHE,241
ENVE,279,CHE,330
NE,496,CHE,331
CHEM,370,CHE,541
NE,333,CHE,541
NE,335,CHE,541
CHEM,121,CHEM,120
ECE,109,CHEM,120
CHEM,120,CHEM,121
CHEM,125,CHEM,123
CHEM,123,CHEM,125
CHEM,237,CHEM,233
NE,224,CHEM,233
CHEM,233,CHEM,237
ECE,403,CHEM,254
PHYS,358,CHEM,254
CHEM,264,CHEM,262
CHEM,266,CHEM,262
CHEM,262,CHEM,264
CHEM,267,CHEM,265
CHEM,265,CHEM,267
CHEM,333,CHEM,331
CHEM,331,CHEM,333
NE,332,CHEM,356
PHYS,233,CHEM,356
PHYS,234,CHEM,356
MNS,322,CHEM,370
NE,334,CHEM,400
NE,352,CHEM,400
AE,104,CIVE,104
AE,105,CIVE,105
MTE,119,CIVE,105
AE,115,CIVE,115
ECE,150,CIVE,121
NE,113,CIVE,121
EARTH,121,CIVE,153
AE,204,CIVE,204
BME,281,CIVE,204
MTE,219,CIVE,204
AE,205,CIVE,205
AE,221,CIVE,221
AE,223,CIVE,222
ENVE,223,CIVE,222
GEOE,223,CIVE,222
AE,224,CIVE,224
MTE,201,CIVE,224
AE,265,CIVE,265
AE,280,CIVE,280
ENVE,280,CIVE,280
GEOE,280,CIVE,280
AE,303,CIVE,303
AE,310,CIVE,310
ENVE,335,CIVE,332
ENVE,375,CIVE,375
AE,392,CIVE,392
ME,559,CIVE,422
AE,491,CIVE,491
CIVE,644,CIVE,740
CIVE,645,CIVE,740
CIVE,646,CIVE,740
CO,250,CO,227
CO,255,CO,227
CO,227,CO,250
CO,370,CO,327
MSCI,332,CO,327
CO,327,CO,370
CO,372,CO,370
MSCI,555,CO,454
ECE,409,CO,487
CS,145,CS,115
CS,114,CS,116
CS,146,CS,116
CS,116,CS,136
CS,136,CS,137
CS,241,CS,230
CS,241E,CS,230
CS,341,CS,231
CS,240E,CS,234
ECE,250,CS,234
MTE,140,CS,240
ECE,208,CS,245
PMATH,330,CS,245
CS,247,CS,246
CS,246,CS,247
AFM,241,CS,330
AMATH,242,CS,335
CS,371,CS,335
CS,348,CS,338
MSCI,245,CS,338
ECE,406,CS,341
ECE,252,CS,343
ECE,254,CS,343
CS,338,CS,348
ECE,356,CS,348
ECE,350,CS,350
SE,350,CS,350
CS,365,CS,360
CS,360,CS,365
CS,446,CS,430
ECE,452,CS,430
CS,456,CS,436
SE,463,CS,445
CS,430,CS,446
SE,464,CS,446
ECE,653,CS,447
SE,465,CS,447
MSCI,343,CS,449
SYDE,548,CS,449
CS,431,CS,451
CS,436,CS,454
ECE,454,CS,454
CS,755,CS,456
ECE,416,CS,456
ECE,458,CS,458
SYDE,522,CS,480
ECE,457B,CS,486
HLTH,615,CS,645
CS,764,CS,664
CS,779,CS,679
CS,784,CS,684
CS,785,CS,685
CS,654,CS,755
CS,656,CS,755
CS,775,CS,770
DAC,204,DAC,300
ENVS,195,EARTH,122
SCI,201,EARTH,358
EARTH,355,EARTH,491
ECE,108,ECE,103
NE,241,ECE,106
MTE,120,ECE,140
CS,245E,ECE,208
MTE,262,ECE,222
NE,242,ECE,231
NE,344,ECE,240
ECE,340,ECE,242
CS,350,ECE,254
MTE,241,ECE,254
ECE,361,ECE,260
ECE,203,ECE,306
MSCI,253,ECE,307
CS,450,ECE,320
ECE,242,ECE,340
ECE,360,ECE,361
MTE,360,ECE,380
SE,380,ECE,380
PHYS,256,ECE,404
ECE,606,ECE,406
NE,343,ECE,433
MTE,421,ECE,444
CS,454,ECE,454
CS,458,ECE,458
MTE,420,ECE,463
ECE,484,ECE,481
ECE,481,ECE,484
ME,547,ECE,486
ECE,457C,ECE,493
ECE,602,ECE,700
ECE,613,ECE,710
ECE,722,ECE,720
ECE,633,ECE,730
ECE,635,ECE,730
ECE,654,ECE,750
ECE,655,ECE,750
ECE,656,ECE,750
ECE,657,ECE,750
ECE,658,ECE,750
ECE,659,ECE,750
ECE,751,ECE,750
ECE,660,ECE,760
ECE,666,ECE,760
ECE,768,ECE,760
ECE,676,ECE,770
ECE,677,ECE,770
ECE,782,ECE,780
ECE,783,ECE,780
STAT,902,ECE,780
ECON,101,ECON,100
COMM,103,ECON,101
ECON,100,ECON,101
MSCI,263,ECON,101
ECON,212,ECON,412
ECON,392,ECON,412
STAT,331,ECON,421
ECON,704,ECON,604
ECON,741,ECON,641
ECON,751,ECON,651
ECON,757,ECON,657
ECON,658,ECON,673
SFM,101,ENBUS,102
MGMT,220,ENBUS,203
AFM,433,ENBUS,302
SFM,310,ENBUS,310
ENBUS,315,ENBUS,375
CIVE,280,ENVE,280
CIVE,332,ENVE,335
CIVE,375,ENVE,375
EARTH,122,ENVS,195
ENVS,205,ENVS,274
GEOG,205,ENVS,274
FR,101,FR,151
FR,151,FR,152
FR,297,FR,292
FR,292,FR,297
DAC,309,GBDA,210
AE,123,GENE,123
CIVE,123,GENE,123
ENVE,123,GENE,123
GEOE,123,GENE,123
ME,123,GENE,123
ENGL,192,GENE,191
SPCOM,192,GENE,191
ENGL,191,GENE,199
SPCOM,191,GENE,199
AVIA,270,GEOG,374
GEOG,302,GEOG,374
GEOG,336,GEOG,374
GEOG,357,GEOG,374
GEOG,607,GEOG,381
BIOL,462,GEOG,405
EARTH,444,GEOG,405
PSCI,257,HIST,230
SDS,220R,HIST,255
HIST,207,HIST,291
HIST,256,HIST,291
PSYCH,291,HLTH,333
STAT,337,HLTH,333
HLTH,642,HLTH,400
PSCI,350,INDEV,200
INTEG,251,INTEG,275
INTEG,410,INTEG,475
ITAL,155,ITAL,101
ITAL,101,ITAL,155
ITAL,102,ITAL,155
KIN,657,KIN,301
KIN,727,KIN,427
KIN,646,KIN,446
LS,213,LS,203
SOC,213,LS,203
AFM,425,MATBUS,471
CIVE,115,MATH,106
ENVE,115,MATH,106
GEOE,115,MATH,106
MATH,103,MATH,106
MATH,114,MATH,106
MATH,115,MATH,106
MATH,136,MATH,106
MATH,146,MATH,106
MATH,215,MATH,106
MATH,106,MATH,114
NE,112,MATH,114
MATH,117,MATH,116
MATH,137,MATH,116
MATH,147,MATH,116
SYDE,111,MATH,116
MATH,116,MATH,117
MATH,119,MATH,118
MATH,128,MATH,118
MATH,138,MATH,118
MATH,148,MATH,118
SYDE,112,MATH,118
MATH,118,MATH,119
MATH,104,MATH,127
MATH,145,MATH,135
MATH,135,MATH,145
AMATH,231,MATH,207
MATH,237,MATH,207
CIVE,221,MATH,217
GEOE,221,MATH,217
CIVE,222,MATH,218
MATH,235,MATH,225
MATH,245,MATH,225
MATH,225,MATH,235
MATH,247,MATH,237
PMATH,333,MATH,247
ME,235,ME,115
MTE,111,ME,115
MTE,203,ME,201
MTE,202,ME,203
BME,182,ME,212
ME,115,ME,235
MTE,320,ME,269
MTE,321,ME,321
MTE,322,ME,321
ECE,380,ME,360
MTE,380,ME,380
CHE,516,ME,459
ME,659,ME,459
CIVE,422,ME,559
ME,671,ME,567
ME,760,ME,571
ME,640,ME,597
ARBUS,200,MGMT,220
AFM,280,MSCI,211
SCBUS,225,MSCI,211
CIVE,392,MSCI,261
ENVE,392,MSCI,261
GEOE,392,MSCI,261
MSCI,432,MSCI,334
BET,450,MSCI,411
MSCI,334,MSCI,432
INTEG,441,MSCI,452
MSCI,634,MSCI,603
ME,262,MTE,262
ME,250,MTE,309
ECE,224,MTE,325
ME,380,MTE,380
ECE,463,MTE,420
ECE,444,MTE,421
MUSIC,262,MUSIC,290
TS,652,MUSIC,363
SYDE,683,NANO,605
NANO,601,NANO,701
NANO,602,NANO,701
NANO,603,NANO,701
NANO,604,NANO,701
NANO,605,NANO,702
NANO,606,NANO,702
SYDE,682,NANO,702
ECE,106,NE,241
ECE,231,NE,242
ECE,433,NE,343
PHYS,461,NE,471
PHIL,110A,PHIL,101
PHIL,110B,PHIL,101
PHIL,207J,PHIL,209
CLAS,260,PHIL,271
PHIL,252,PHIL,271
PHIL,260,PHIL,271
SCI,252,PHIL,271
SCI,266,PHIL,271
PHIL,205,PHIL,371
NE,131,PHYS,111
PHYS,115,PHYS,111
PHYS,121,PHYS,111
PHYS,122,PHYS,112
PHYS,125,PHYS,112
CIVE,104,PHYS,115
PHYS,111,PHYS,115
PHYS,112,PHYS,122
SCI,237,PHYS,175
SCI,238,PHYS,175
CHEM,356,PHYS,234
PHYS,224,PHYS,242
AMATH,271,PHYS,263
AMATH,373,PHYS,334
CHEM,254,PHYS,358
AMATH,332,PHYS,365
PMATH,332,PHYS,365
PLAN,606,PLAN,416
PLAN,415,PLAN,474
PLAN,417,PLAN,474
CS,245,PMATH,330
PMATH,632,PMATH,432
PMATH,740,PMATH,440
PMATH,641,PMATH,441
PMATH,745,PMATH,445
PMATH,646,PMATH,446
PMATH,650,PMATH,450
PMATH,651,PMATH,451
PMATH,753,PMATH,453
PMATH,764,PMATH,464
PMATH,665,PMATH,465
PMATH,667,PMATH,467
PMATH,833,PMATH,950
PSCI,348,PSCI,390
SMF,204,PSYCH,236
KIN,359,PSYCH,307
SMF,306,PSYCH,354
PSYCH,356,PSYCH,355
PSYCH,356R,PSYCH,355
PSYCH,337,PSYCH,363
PSYCH,380,PSYCH,363
BIOL,361,PSYCH,391
PSYCH,470,PSYCH,391
FINE,252,RS,270
FINE,253,RS,271
RS,387,RS,391
PHYS,175,SCI,237
CS,445,SE,463
ECE,451,SE,463
CS,447,SE,465
ECE,453,SE,465
ENBUS,102,SFM,101
ENVS,220,SFM,102
PSYCH,236,SMF,204
SOCWK,220R,SMF,301
SMF,350,SMF,365
SMF,250,SMF,366
LS,329,SOC,330
SOC,329,SOC,330
SPAN,201A,SPAN,210
SPAN,201B,SPAN,210
SPCOM,204,SPCOM,111
SPCOM,111,SPCOM,204
GEOG,417,SPCOM,479
STAT,220,STAT,202
STAT,202,STAT,220
STAT,230,STAT,220
STAT,240,STAT,220
STAT,231,STAT,221
STAT,241,STAT,221
PHYS,267,STAT,230
STAT,221,STAT,231
HLTH,335,STAT,316
STAT,371,STAT,321
STAT,373,STAT,321
STAT,443,STAT,321
PSYCH,391,STAT,322
STAT,372,STAT,322
ECE,307,STAT,330
STAT,334,STAT,330
STAT,316,STAT,331
STAT,321,STAT,331
SYDE,334,STAT,331
STAT,322,STAT,332
STAT,330,STAT,334
STAT,333,STAT,334
MSCI,333,STAT,340
STAT,830,STAT,430
STAT,831,STAT,431
STAT,835,STAT,435
STAT,836,STAT,436
STAT,936,STAT,437
STAT,850,STAT,450
STAT,854,STAT,454
BME,101,SYDE,101
BME,121,SYDE,121
BME,161,SYDE,161
BME,162,SYDE,162
BME,181,SYDE,181
BME,122,SYDE,223
BME,252,SYDE,252
STV,202,SYDE,261
BME,364,SYDE,262
BME,386,SYDE,283
BME,282,SYDE,285
MTE,220,SYDE,292
CS,246E,SYDE,322
BME,361,SYDE,361
BME,362,SYDE,362
BME,384,SYDE,381
MTE,309,SYDE,381
BME,411,SYDE,411
BME,461,SYDE,461
ECE,417,SYDE,575
SYDE,660B,SYDE,660
SYDE,671,SYDE,770
SYDE,672,SYDE,770
SYDE,673,SYDE,770
SYDE,674,SYDE,770
GENE,101,UNIV,101
